fips,state,state_abbr,region,year,disease,age_group,cases,rate,population
28,Mississippi,MS,South,2023,Gonorrhea,20-24,2377,1183.3,200880
28,Mississippi,MS,South,2023,Gonorrhea,25-29,1220,668.2,182564
28,Mississippi,MS,South,2023,P&S Syphilis,15-19,64,30.1,212430
28,Mississippi,MS,South,2023,P&S Syphilis,20-24,142,70.7,200880
28,Mississippi,MS,South,2023,P&S Syphilis,25-29,160,87.6,182564
29,Missouri,MO,Midwest,2023,Chlamydia,15-19,8854,2164.8,408999
29,Missouri,MO,Midwest,2023,Chlamydia,20-24,10394,2559.9,406031
29,Missouri,MO,Midwest,2023,Chlamydia,25-29,5149,1302.6,395286
29,Missouri,MO,Midwest,2023,Gonorrhea,15-19,2475,605.1,408999
29,Missouri,MO,Midwest,2023,Gonorrhea,20-24,3205,789.3,406031
29,Missouri,MO,Midwest,2023,Gonorrhea,25-29,2123,537.1,395286
29,Missouri,MO,Midwest,2023,P&S Syphilis,15-19,52,12.7,408999
29,Missouri,MO,Midwest,2023,P&S Syphilis,20-24,147,36.2,406031
29,Missouri,MO,Midwest,2023,P&S Syphilis,25-29,224,56.7,395286
30,Montana,MT,West,2023,Chlamydia,15-19,964,1365.3,70607
30,Montana,MT,West,2023,Chlamydia,20-24,1283,1710.2,75020
30,Montana,MT,West,2023,Chlamydia,25-29,565,783.1,72149
30,Montana,MT,West,2023,Gonorrhea,15-19,97,137.4,70607
30,Montana,MT,West,2023,Gonorrhea,20-24,154,205.3,75020
30,Montana,MT,West,2023,Gonorrhea,25-29,131,181.6,72149
30,Montana,MT,West,2023,P&S Syphilis,15-19,22,31.2,70607
30,Montana,MT,West,2023,P&S Syphilis,20-24,43,57.3,75020
30,Montana,MT,West,2023,P&S Syphilis,25-29,43,59.6,72149
31,Nebraska,NE,Midwest,2023,Chlamydia,15-19,2507,1776.0,141160
31,Nebraska,NE,Midwest,2023,Chlamydia,20-24,3387,2426.9,139561
31,Nebraska,NE,Midwest,2023,Chlamydia,25-29,1523,1211.7,125691
31,Nebraska,NE,Midwest,2023,Gonorrhea,15-19,361,255.7,141160
31,Nebraska,NE,Midwest,2023,Gonorrhea,20-24,575,412.0,139561
31,Nebraska,NE,Midwest,2023,Gonorrhea,25-29,402,319.8,125691
31,Nebraska,NE,Midwest,2023,P&S Syphilis,15-19,6,4.3,141160
31,Nebraska,NE,Midwest,2023,P&S Syphilis,20-24,21,15.0,139561
31,Nebraska,NE,Midwest,2023,P&S Syphilis,25-29,42,33.4,125691
32,Nevada,NV,West,2023,Chlamydia,15-19,2829,1445.2,195751
32,Nevada,NV,West,2023,Chlamydia,20-24,4883,2641.0,184892
32,Nevada,NV,West,2023,Chlamydia,25-29,3110,1434.2,216846
32,Nevada,NV,West,2023,Gonorrhea,15-19,788,402.5,195751
32,Nevada,NV,West,2023,Gonorrhea,20-24,1341,725.3,184892
32,Nevada,NV,West,2023,Gonorrhea,25-29,1189,548.3,216846
32,Nevada,NV,West,2023,P&S Syphilis,15-19,19,9.7,195751
32,Nevada,NV,West,2023,P&S Syphilis,20-24,88,47.6,184892
32,Nevada,NV,West,2023,P&S Syphilis,25-29,121,55.8,216846
33,New Hampshire,NH,Northeast,2023,Chlamydia,15-19,638,767.4,83138
